level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
2	1	8	0	0	0	1157	1737	679	15	-1	
3	1	8	1	0	0	1157	1737	679	15	-1	
4	1	8	1	1	0	1157	1737	679	15	-1	
5	1	8	1	1	1	1157	1737	679	15	95.000000	 
2	1	9	0	0	0	1159	789	492	7	-1	
3	1	9	1	0	0	1159	789	492	7	-1	
4	1	9	1	1	0	1159	789	492	7	-1	
5	1	9	1	1	1	1159	789	492	7	95.000000	 
2	1	10	0	0	0	1110	1790	780	15	-1	
3	1	10	1	0	0	1110	1790	780	15	-1	
4	1	10	1	1	0	1110	1790	780	15	-1	
5	1	10	1	1	1	1110	1790	780	15	95.000000	 
2	1	11	0	0	0	1131	1159	725	2	-1	
3	1	11	1	0	0	1131	1159	725	2	-1	
4	1	11	1	1	0	1131	1159	725	2	-1	
5	1	11	1	1	1	1131	1159	725	2	95.000000	 
2	1	12	0	0	0	1118	894	616	5	-1	
3	1	12	1	0	0	1118	894	616	5	-1	
4	1	12	1	1	0	1118	894	616	5	-1	
5	1	12	1	1	1	1118	894	616	5	95.000000	 
2	1	13	0	0	0	1082	1683	805	14	-1	
3	1	13	1	0	0	1082	1683	805	14	-1	
4	1	13	1	1	0	1082	1683	805	14	-1	
5	1	13	1	1	1	1082	1683	805	14	95.000000	 
2	1	14	0	0	0	1072	1419	802	10	-1	
3	1	14	1	0	0	1072	1419	802	10	-1	
4	1	14	1	1	0	1072	1419	802	10	-1	
5	1	14	1	1	1	1072	1419	802	10	95.000000	 
2	1	15	0	0	0	1053	1630	831	15	-1	
3	1	15	1	0	0	1053	1630	831	15	-1	
4	1	15	1	1	0	1053	1630	831	15	-1	
5	1	15	1	1	1	1053	1630	831	15	95.000000	 
